Confirmado,Mortes,Mortalidade,Estado,Atualizado,Created
8203,167,"2,04%",TO,19/06/2020,21/06/2020 - 11:06:32:362
11381,300,"2,64%",AC,21/06/2020,22/06/2020 - 11:06:15:267
28657,884,"3,08%",AL,21/06/2020,22/06/2020 - 11:06:16:103
21840,359,"1,64%",AP,21/06/2020,22/06/2020 - 11:06:16:757
63410,2657,"4,19%",AM,21/06/2020,22/06/2020 - 11:06:17:405
46279,1391,"3,01%",BA,21/06/2020,22/06/2020 - 11:06:18:15
92866,5523,"5,95%",CE,21/06/2020,22/06/2020 - 11:06:18:682
33227,423,"1,27%",DF,21/06/2020,22/06/2020 - 11:06:19:261
34866,1328,"3,81%",ES,21/06/2020,22/06/2020 - 11:06:19:923
15904,306,"1,92%",GO,21/06/2020,22/06/2020 - 11:06:20:542
70059,1721,"2,46%",MA,21/06/2020,22/06/2020 - 11:06:21:293
9776,370,"3,78%",MT,21/06/2020,22/06/2020 - 11:06:21:947
5237,45,"0,86%",MS,20/06/2020,22/06/2020 - 11:06:22:517
27641,661,"2,39%",MG,21/06/2020,22/06/2020 - 11:06:23:241
86020,4605,"5,35%",PA,21/06/2020,22/06/2020 - 11:06:24:98
36784,766,"2,08%",PB,21/06/2020,22/06/2020 - 11:06:24:678
52113,4234,"8,12%",PE,21/06/2020,22/06/2020 - 11:06:25:175
14476,502,"3,47%",PI,21/06/2020,22/06/2020 - 11:06:25:880
14501,451,"3,11%",PR,21/06/2020,22/06/2020 - 11:06:26:546
96133,8875,"9,23%",RJ,21/06/2020,22/06/2020 - 11:06:27:373
19290,697,"3,61%",RN,20/06/2020,22/06/2020 - 11:06:28:17
19348,434,"2,24%",RS,21/06/2020,22/06/2020 - 11:06:28:629
15181,417,"2,75%",RO,21/06/2020,22/06/2020 - 11:06:29:302
8120,251,"3,09%",RR,20/06/2020,22/06/2020 - 11:06:30:93
17582,246,"1,40%",SC,21/06/2020,22/06/2020 - 11:06:30:758
219185,12588,"5,74%",SP,21/06/2020,22/06/2020 - 11:06:31:458
18985,462,"2,43%",SE,21/06/2020,22/06/2020 - 11:06:31:997
8354,175,"2,09%",TO,20/06/2020,22/06/2020 - 11:06:32:542
11539,305,"2,64%",AC,22/06/2020,23/06/2020 - 11:06:16:609
29395,903,"3,07%",AL,22/06/2020,23/06/2020 - 11:06:17:408
24862,372,"1,50%",AP,22/06/2020,23/06/2020 - 11:06:17:997
63731,2671,"4,19%",AM,22/06/2020,23/06/2020 - 11:06:18:841
47086,1441,"3,06%",BA,22/06/2020,23/06/2020 - 11:06:31:916
94708,5618,"5,93%",CE,22/06/2020,23/06/2020 - 11:06:33:106
34148,449,"1,31%",DF,22/06/2020,23/06/2020 - 11:06:48:577
36147,1387,"3,84%",ES,22/06/2020,23/06/2020 - 11:06:49:741
17085,324,"1,90%",GO,22/06/2020,23/06/2020 - 11:06:50:438
70689,1760,"2,49%",MA,22/06/2020,23/06/2020 - 11:06:51:00
10270,394,"3,84%",MT,22/06/2020,23/06/2020 - 11:06:51:837
5391,47,"0,87%",MS,21/06/2020,23/06/2020 - 11:06:03:842
28918,688,"2,38%",MG,22/06/2020,23/06/2020 - 11:06:05:292
88636,4672,"5,27%",PA,22/06/2020,23/06/2020 - 11:06:06:855
37253,784,"2,10%",PB,22/06/2020,23/06/2020 - 11:06:07:964
52494,4252,"8,10%",PE,22/06/2020,23/06/2020 - 11:06:08:547
15269,517,"3,39%",PI,22/06/2020,23/06/2020 - 11:06:09:229
15124,469,"3,10%",PR,22/06/2020,23/06/2020 - 11:06:10:586
97572,8933,"9,16%",RJ,22/06/2020,23/06/2020 - 11:06:21:355
19957,730,"3,66%",RN,21/06/2020,23/06/2020 - 11:06:22:97
19710,458,"2,32%",RS,22/06/2020,23/06/2020 - 11:06:22:793
15827,432,"2,73%",RO,22/06/2020,23/06/2020 - 11:06:23:823
8188,251,"3,07%",RR,21/06/2020,23/06/2020 - 11:06:24:518
17937,256,"1,43%",SC,22/06/2020,23/06/2020 - 11:06:25:342
221973,12634,"5,69%",SP,22/06/2020,23/06/2020 - 11:06:38:219
19384,491,"2,53%",SE,22/06/2020,23/06/2020 - 11:06:39:110
8477,178,"2,10%",TO,21/06/2020,23/06/2020 - 11:06:40:151
11810,321,"2,72%",AC,23/06/2020,24/06/2020 - 11:06:18:741
30246,920,"3,04%",AL,23/06/2020,24/06/2020 - 11:06:49:372
26437,380,"1,44%",AP,23/06/2020,24/06/2020 - 11:06:20:29
65073,2686,"4,13%",AM,23/06/2020,24/06/2020 - 11:06:50:477
47086,1441,"3,06%",BA,22/06/2020,24/06/2020 - 11:06:52:748
98055,5728,"5,84%",CE,23/06/2020,24/06/2020 - 11:06:53:198
35368,475,"1,34%",DF,23/06/2020,24/06/2020 - 11:06:53:881
36827,1425,"3,87%",ES,23/06/2020,24/06/2020 - 11:06:54:469
18014,355,"1,97%",GO,23/06/2020,24/06/2020 - 11:06:54:956
72021,1797,"2,50%",MA,23/06/2020,24/06/2020 - 11:06:55:448
10992,423,"3,85%",MT,23/06/2020,24/06/2020 - 11:06:55:888
5784,55,"0,95%",MS,22/06/2020,24/06/2020 - 11:06:56:294
29897,720,"2,41%",MG,23/06/2020,24/06/2020 - 11:06:56:889
91708,4726,"5,15%",PA,23/06/2020,24/06/2020 - 11:06:57:337
12022,326,"2,71%",AC,24/06/2020,25/06/2020 - 11:06:24:225
31230,938,"3,00%",AL,24/06/2020,25/06/2020 - 11:06:55:206
26919,387,"1,44%",AP,24/06/2020,25/06/2020 - 11:06:15:970
66764,2710,"4,06%",AM,24/06/2020,25/06/2020 - 11:06:27:956
51931,1541,"2,97%",BA,24/06/2020,25/06/2020 - 11:06:28:696
99578,5815,"5,84%",CE,24/06/2020,25/06/2020 - 11:06:29:721
37254,495,"1,33%",DF,24/06/2020,25/06/2020 - 11:06:30:360
38483,1463,"3,80%",ES,24/06/2020,25/06/2020 - 11:06:30:947
19280,375,"1,95%",GO,24/06/2020,25/06/2020 - 11:06:31:613
73314,1836,"2,50%",MA,24/06/2020,25/06/2020 - 11:06:32:256
11443,443,"3,87%",MT,24/06/2020,25/06/2020 - 11:06:33:227
6201,56,"0,90%",MS,23/06/2020,25/06/2020 - 11:06:33:737
12304,335,"2,72%",AC,25/06/2020,26/06/2020 - 11:06:14:955
32065,958,"2,99%",AL,25/06/2020,26/06/2020 - 11:06:15:755
27415,394,"1,44%",AP,25/06/2020,26/06/2020 - 11:06:16:554
67267,2731,"4,06%",AM,25/06/2020,26/06/2020 - 11:06:17:258
54291,1601,"2,95%",BA,25/06/2020,26/06/2020 - 11:06:17:977
103118,5895,"5,72%",CE,25/06/2020,26/06/2020 - 11:06:18:793
38871,509,"1,31%",DF,25/06/2020,26/06/2020 - 11:06:19:303
40406,1490,"3,69%",ES,25/06/2020,26/06/2020 - 11:06:20:260
20377,384,"1,88%",GO,25/06/2020,26/06/2020 - 11:06:20:996
74925,1871,"2,50%",MA,25/06/2020,26/06/2020 - 11:06:21:664
12601,476,"3,78%",MT,25/06/2020,26/06/2020 - 11:06:22:496
6523,61,"0,94%",MS,24/06/2020,26/06/2020 - 11:06:23:215
32769,806,"2,46%",MG,25/06/2020,26/06/2020 - 11:06:23:957
96472,4803,"4,98%",PA,25/06/2020,26/06/2020 - 11:06:24:526
40824,842,"2,06%",PB,25/06/2020,26/06/2020 - 11:06:25:177
55136,4488,"8,14%",PE,25/06/2020,26/06/2020 - 11:06:26:90
18023,574,"3,18%",PI,25/06/2020,26/06/2020 - 11:06:26:807
12644,343,"2,71%",AC,26/06/2020,27/06/2020 - 11:06:14:853
32864,975,"2,97%",AL,26/06/2020,27/06/2020 - 11:06:15:551
27662,401,"1,45%",AP,26/06/2020,27/06/2020 - 11:06:16:375
68220,2739,"4,01%",AM,26/06/2020,27/06/2020 - 11:06:16:843
56422,1642,"2,91%",BA,26/06/2020,27/06/2020 - 11:06:17:343
105270,5962,"5,66%",CE,26/06/2020,27/06/2020 - 11:06:17:966
41326,532,"1,29%",DF,26/06/2020,27/06/2020 - 11:06:18:475
41652,1507,"3,62%",ES,26/06/2020,27/06/2020 - 11:06:18:935
21441,425,"1,98%",GO,26/06/2020,27/06/2020 - 11:06:19:418
76698,1906,"2,49%",MA,26/06/2020,27/06/2020 - 11:06:19:865
13406,504,"3,76%",MT,26/06/2020,27/06/2020 - 11:06:20:212
6913,65,"0,94%",MS,25/06/2020,27/06/2020 - 11:06:20:633
38891,833,"2,14%",MG,26/06/2020,27/06/2020 - 11:06:21:625
99313,4834,"4,87%",PA,26/06/2020,27/06/2020 - 11:06:22:411
42832,864,"2,02%",PB,26/06/2020,27/06/2020 - 11:06:23:258
55804,4610,"8,26%",PE,26/06/2020,27/06/2020 - 11:06:24:43
12913,351,"2,72%",AC,27/06/2020,28/06/2020 - 11:06:19:756
33521,993,"2,96%",AL,27/06/2020,28/06/2020 - 11:06:24:984
27901,406,"1,46%",AP,27/06/2020,28/06/2020 - 11:06:25:746
69022,2772,"4,02%",AM,27/06/2020,28/06/2020 - 11:06:26:405
65244,1697,"2,60%",BA,27/06/2020,28/06/2020 - 11:06:26:947
107064,5987,"5,59%",CE,27/06/2020,28/06/2020 - 11:06:27:444
42766,537,"1,26%",DF,27/06/2020,28/06/2020 - 11:06:27:773
41652,1507,"3,62%",ES,26/06/2020,28/06/2020 - 11:06:28:186
21865,434,"1,98%",GO,27/06/2020,28/06/2020 - 11:06:28:652
78115,1943,"2,49%",MA,27/06/2020,28/06/2020 - 11:06:29:228
13805,527,"3,82%",MT,27/06/2020,28/06/2020 - 11:06:29:890
7307,68,"0,93%",MS,26/06/2020,28/06/2020 - 11:06:30:369
40966,882,"2,15%",MG,27/06/2020,28/06/2020 - 11:06:31:94
100443,4845,"4,82%",PA,27/06/2020,28/06/2020 - 11:06:31:589
44242,896,"2,03%",PB,27/06/2020,28/06/2020 - 11:06:32:37
57089,4708,"8,25%",PE,27/06/2020,28/06/2020 - 11:06:32:462
19158,615,"3,21%",PI,27/06/2020,28/06/2020 - 11:06:33:01
19819,575,"2,90%",PR,27/06/2020,28/06/2020 - 11:06:33:419
108803,9789,"9,00%",RJ,27/06/2020,28/06/2020 - 11:06:33:875
24253,909,"3,75%",RN,26/06/2020,28/06/2020 - 11:06:34:343
25000,554,"2,22%",RS,27/06/2020,28/06/2020 - 11:06:34:751
19271,476,"2,47%",RO,26/06/2020,28/06/2020 - 11:06:35:181
13078,281,"2,15%",RR,26/06/2020,28/06/2020 - 11:06:35:523
23808,304,"1,28%",SC,27/06/2020,28/06/2020 - 11:06:35:912
265581,14263,"5,37%",SP,27/06/2020,28/06/2020 - 11:06:36:519
23319,605,"2,59%",SE,27/06/2020,28/06/2020 - 11:06:36:956
9966,191,"1,92%",TO,26/06/2020,28/06/2020 - 11:06:37:415
13058,353,"2,70%",AC,28/06/2020,29/06/2020 - 11:06:15:41
34312,1012,"2,95%",AL,28/06/2020,29/06/2020 - 11:06:15:785
27985,407,"1,45%",AP,28/06/2020,29/06/2020 - 11:06:17:130
69649,2782,"3,99%",AM,28/06/2020,29/06/2020 - 11:06:17:757
68495,1748,"2,55%",BA,28/06/2020,29/06/2020 - 11:06:18:649
107593,5995,"5,57%",CE,28/06/2020,29/06/2020 - 11:06:19:907
44905,548,"1,22%",DF,28/06/2020,29/06/2020 - 11:06:20:547
43683,1566,"3,58%",ES,28/06/2020,29/06/2020 - 11:06:21:158
22165,436,"1,97%",GO,28/06/2020,29/06/2020 - 11:06:21:865
78512,1982,"2,52%",MA,28/06/2020,29/06/2020 - 11:06:22:718
14654,556,"3,79%",MT,28/06/2020,29/06/2020 - 11:06:23:578
7527,72,"0,96%",MS,27/06/2020,29/06/2020 - 11:06:24:212
42741,899,"2,10%",MG,28/06/2020,29/06/2020 - 11:06:25:79
101207,4870,"4,81%",PA,28/06/2020,29/06/2020 - 11:06:25:745
44679,911,"2,04%",PB,28/06/2020,29/06/2020 - 11:06:26:633
58107,4751,"8,18%",PE,28/06/2020,29/06/2020 - 11:06:27:292
19753,643,"3,26%",PI,28/06/2020,29/06/2020 - 11:06:28:147
